Step,N,maxaug_c,Nscores
1,0.079999998,11.77999973,2.558120012
2,0.079999998,11.89668274,2.560571432
3,0.079999998,12.0133667,2.563014984
4,0.079999998,12.13004971,2.565452099
5,0.079999998,12.24673367,2.567887306
6,0.079999998,12.36341667,2.570313931
7,0.079999998,12.48010063,2.572727442
8,0.079999998,12.59678364,2.575138569
9,0.079999998,12.71346664,2.577546358
10,0.079999998,12.8301506,2.579941273
11,0.079999998,12.94683361,2.58232975
12,0.079999998,13.06351757,2.584704161
13,0.079999998,13.18020058,2.587077856
14,0.079999998,13.29688454,2.589438677
15,0.079999998,13.41356754,2.591795683
16,0.079999998,13.53025055,2.594142914
17,0.079999998,13.64693451,2.596483469
18,0.079999998,13.76361752,2.598815918
19,0.079999998,13.88030148,2.601135731
20,0.079999998,13.99698448,2.60345149
21,0.079999998,14.11366844,2.605752945
22,0.079999998,14.23035145,2.608059645
23,0.079999998,14.34703445,2.61034894
24,0.079999998,14.46371841,2.612635374
25,0.079999998,14.58040237,2.614907742
26,0.079999998,14.69708538,2.617176533
27,0.079999998,14.81376839,2.619438648
28,0.079999998,14.93045235,2.621694326
29,0.079999998,15.04713535,2.623936892
30,0.079999998,15.16381836,2.626176119
31,0.079999998,15.28050232,2.628415585
32,0.079999998,15.39718628,2.630642891
33,0.079999998,15.51386929,2.632866383
34,0.079999998,15.63055229,2.635087729
35,0.079999998,15.74723625,2.637300253
36,0.079999998,15.86392021,2.639510632
37,0.079999998,15.98060226,2.64172101
38,0.079999998,16.09728622,2.643920422
39,0.079999998,16.21397018,2.646121979
40,0.079999998,16.33065414,2.648321629
41,0.079999998,16.4473362,2.650520802
42,0.079999998,16.56402016,2.652721167
43,0.079999998,16.68070412,2.654918671
44,0.079999998,16.79738617,2.657119036
45,0.079999998,16.91407013,2.659323454
46,0.079999998,17.03075409,2.661530972
47,0.079999998,17.14743805,2.663741112
48,0.079999998,17.2641201,2.665959835
49,0.079999998,17.38080406,2.668190002
50,0.079999998,17.49748802,2.670420408
51,0.079999998,17.61417007,2.672667742
52,0.079999998,17.73085403,2.674921751
53,0.079999998,17.84753799,2.677194118
54,0.079999998,17.96422195,2.679483414
55,0.079999998,18.08090591,2.681787968
56,0.079999998,18.19758797,2.684115648
57,0.079999998,18.31427193,2.686466217
58,0.079999998,18.43095398,2.688836813
59,0.079999998,18.54763794,2.69123888
60,0.079999998,18.6643219,2.693675518
61,0.079999998,18.78100586,2.696141243
62,0.079999998,18.89768791,2.698648453
63,0.079999998,19.01437187,2.701202154
64,0.079999998,19.13105583,2.703793526
65,0.079999998,19.24773788,2.706439257
66,0.079999998,19.36442184,2.709141254
67,0.079999998,19.4811058,2.711893082
68,0.079999998,19.59778976,2.714720488
69,0.079999998,19.71447182,2.717608213
70,0.079999998,19.83115578,2.72058177
71,0.079999998,19.94783974,2.723629475
72,0.079999998,20.06452179,2.726769924
73,0.079999998,20.18120575,2.729998112
74,0.079999998,20.29788971,2.733335733
75,0.079999998,20.41457367,2.736781836
76,0.079999998,20.53125763,2.74034524
77,0.079999998,20.64793968,2.744036436
78,0.079999998,20.76462364,2.747855663
79,0.079999998,20.88130569,2.751830101
80,0.079999998,20.99798965,2.755950212
81,0.079999998,21.11467361,2.76024127
82,0.079999998,21.23135757,2.764704466
83,0.079999998,21.34804153,2.769361258
84,0.079999998,21.46472359,2.774209261
85,0.079999998,21.58140755,2.77925992
86,0.079999998,21.6980896,2.784541607
87,0.079999998,21.81477356,2.790047646
88,0.079999998,21.93145752,2.795806646
89,0.079999998,22.04814148,2.801817417
90,0.079999998,22.16482544,2.808098555
91,0.079999998,22.28150749,2.814659834
92,0.079999998,22.39818954,2.821521044
93,0.079999998,22.51487541,2.828691483
94,0.079999998,22.63155746,2.836163282
95,0.079999998,22.74824142,2.843969107
96,0.079999998,22.86492538,2.852111578
97,0.079999998,22.98160934,2.860613585
98,0.079999998,23.0982914,2.869463682
99,0.079999998,23.21497536,2.878670692
100,0.079999998,23.33165741,2.888258457
101,0.079999998,23.44834137,2.89821291
102,0.079999998,23.56502533,2.908550024
103,0.079999998,23.68170929,2.919276953
104,0.079999998,23.79839325,2.930378914
105,0.079999998,23.9150753,2.941877127
106,0.079999998,24.03175926,2.953748465
107,0.079999998,24.14844131,2.965995073
108,0.079999998,24.26512527,2.97861743
109,0.079999998,24.38180923,2.991607189
110,0.079999998,24.49849319,3.004947662
111,0.079999998,24.61517715,3.018643856
112,0.079999998,24.73186111,3.032667875
113,0.079999998,24.84854317,3.047012806
114,0.079999998,24.96522522,3.061661482
115,0.079999998,25.08190918,3.076600075
116,0.079999998,25.19859314,3.091821194
117,0.079999998,25.3152771,3.107296228
118,0.079999998,25.43196106,3.123007298
119,0.079999998,25.54864502,3.138945818
120,0.079999998,25.66532707,3.155089378
121,0.079999998,25.78200912,3.171421289
122,0.079999998,25.89869308,-99.99990082
123,0.079999998,26.01537704,-99.99990082
124,0.079999998,26.132061,-99.99990082
125,0.079999998,26.24874496,-99.99990082
126,0.079999998,26.36542892,-99.99990082
127,0.079999998,26.48211098,-99.99990082
128,0.079999998,26.59879494,-99.99990082
129,0.079999998,26.71547699,-99.99990082
130,0.079999998,26.83216095,-99.99990082
131,0.079999998,26.94884491,-99.99990082
132,0.079999998,27.06552887,-99.99990082
